Gene Name	Product Name	GO terms (molecular function)	Left-End-Position	Right-End-Position	Direction
cusR	P<SUP>asp</SUP> DNA-binding transcriptional activator CusR // DNA-binding transcriptional activator CusR	DNA-binding transcription factor activity // DNA-binding transcription activator activity // transcription regulatory region sequence-specific DNA binding // phosphorelay response regulator activity // identical protein binding // DNA binding	594760	595443	-
cynR	DNA-binding transcriptional dual regulator CynR	bacterial-type cis-regulatory region sequence-specific DNA binding // DNA-binding transcription factor activity // DNA binding	357791	358690	-
cysB	DNA-binding transcriptional dual regulator CysB	transcription regulatory region sequence-specific DNA binding // DNA-binding transcription factor activity // identical protein binding // DNA binding	1333855	1334829	+
cytR	DNA-binding transcriptional repressor CytR	DNA-binding transcription factor activity // DNA binding // protein binding // transcription regulatory region sequence-specific DNA binding	4123431	4124456	-
dctR	putative DNA-binding transcriptional regulator DctR	DNA binding // protein binding	3654683	3655213	+
dcuR	DcuR // DNA-binding transcriptional activator DcuR	phosphorelay response regulator activity // DNA-binding transcription factor activity // DNA binding // DNA-binding transcription activator activity // protein homodimerization activity	4349315	4350034	-
decR	DNA-binding transcriptional activator DecR	sequence-specific DNA binding // DNA-binding transcription factor activity // DNA binding	468383	468841	+
deoR	DNA-binding transcriptional repressor DeoR	DNA binding // DNA-binding transcription factor activity // bacterial-type cis-regulatory region sequence-specific DNA binding	881976	882734	-
dgoR	DNA-binding transcriptional regulator DgoR	DNA-binding transcription factor activity // bacterial-type cis-regulatory region sequence-specific DNA binding // ligand-activated transcription factor activity // DNA-binding transcription repressor activity // bacterial-type RNA polymerase transcription regulatory region sequence-specific DNA binding // identical protein binding // DNA binding	3874471	3875160	-
dhaR	DNA-binding transcriptional dual regulator DhaR	protein binding // sequence-specific DNA binding // transcription factor binding // ATP binding // DNA binding // nucleotide binding	1251066	1252985	+
dicA	DNA-binding transcriptional dual regulator DicA	DNA binding	1647934	1648341	+
dmlR	DNA-binding transcriptional regulator DmlR	sequence-specific DNA binding // DNA-binding transcription factor activity // DNA binding	1880886	1881809	-
dnaA	chromosomal replication initiator protein DnaA	identical protein binding // sequence-specific DNA binding // ATP binding // nucleotide binding // protein binding // DNA replication origin binding // DNA binding	3882326	3883729	-
dpiA	P<sup>asp</sup> DNA-binding transcriptional dual regulator DpiA // DNA-binding transcriptional dual regulator DpiA	protein binding // DNA-binding transcription factor activity // DNA binding // phosphorelay response regulator activity	653862	654542	+
dsdC	DNA-binding transcriptional dual regulator DsdC	sequence-specific DNA binding // DNA-binding transcription factor activity // DNA binding	2476694	2477629	-
ebgR	DNA-binding transcriptional repressor EbgR	DNA-binding transcription factor activity // transcription regulatory region sequence-specific DNA binding // DNA binding	3221466	3222449	+
ecpR	DNA-binding transcriptional dual regulator MatA	DNA binding	310746	311336	-
envR	DNA-binding transcriptional repressor EnvR	DNA binding // DNA-binding transcription factor activity	3412803	3413465	-
envY	DNA-binding transcriptional activator EnvY	sequence-specific DNA binding // DNA-binding transcription factor activity // DNA binding	586147	586908	-
eutR	putative AraC-type transcriptional regulator EutR	sequence-specific DNA binding // DNA-binding transcription factor activity // DNA binding	2554130	2555182	-
evgA	Phosphorylated DNA-binding transcriptional activator EvgA // DNA-binding transcriptional activator EvgA	protein binding // DNA binding // sequence-specific DNA binding	2483755	2484369	+
exuR	DNA-binding transcriptional repressor ExuR	DNA-binding transcription factor activity // DNA binding	3246652	3247428	+
fabR	DNA-binding transcriptional repressor FabR	DNA binding // DNA-binding transcription factor activity	4161067	4161771	+
fadR	DNA-binding transcriptional dual regulator FadR	fatty-acyl-CoA binding // DNA binding // protein homodimerization activity // DNA-binding transcription factor activity	1234938	1235657	+
feaR	DNA-binding transcriptional activator FeaR	sequence-specific DNA binding // DNA binding // bacterial-type cis-regulatory region sequence-specific DNA binding // DNA-binding transcription factor activity	1446378	1447283	-
fecI	RNA polymerase sigma factor FecI	DNA-binding transcription factor activity // DNA binding // sigma factor activity // protein binding	4517714	4518235	-
fecR	ferric citrate regulator FecR	sigma factor antagonist activity // transmembrane signaling receptor activity // protein binding	4516764	4517717	-
fhlA	DNA-binding transcriptional activator FhlA	protein binding // sequence-specific DNA binding // transcription factor binding // ATP binding // DNA binding // nucleotide binding // identical protein binding // bacterial-type cis-regulatory region sequence-specific DNA binding	2854338	2856416	+
fimZ	putative LuxR family transcriptional regulator FimZ	DNA binding	563848	564480	-
fis	DNA-binding transcriptional dual regulator Fis	DNA-binding transcription factor activity // DNA-binding transcription activator activity // sequence-specific DNA binding, bending // protein homodimerization activity // DNA-binding transcription repressor activity // bacterial-type RNA polymerase core promoter sequence-specific DNA binding // transcription regulatory region sequence-specific DNA binding // protein binding // sequence-specific DNA binding // DNA binding	3411271	3411567	+
flhC	DNA-binding transcriptional dual regulator FlhC	zinc ion binding // metal ion binding // DNA binding	1977266	1977844	-
flhD	DNA-binding transcriptional dual regulator FlhD	DNA binding	1977847	1978197	-
fliA	RNA polymerase, sigma 28 (sigma F) factor	DNA-binding transcription factor activity // DNA-directed 5'-3' RNA polymerase activity // protein binding // DNA binding // sigma factor activity	2001070	2001789	-
fliZ	DNA-binding transcriptional regulator FliZ	DNA binding // core promoter sequence-specific DNA binding // sigma factor antagonist activity	2000473	2001024	-
fnr	DNA-binding transcriptional dual regulator FNR	DNA-binding transcription activator activity // transcription regulatory region sequence-specific DNA binding // metal ion binding // 4 iron, 4 sulfur cluster binding // iron-sulfur cluster binding // DNA-binding transcription factor activity // DNA binding	1398774	1399526	-
frlR	putative DNA-binding transcriptional regulator FrlR	protein binding // DNA-binding transcription factor activity // DNA binding	3504052	3504783	+
frmR	DNA-binding transcriptional repressor FrmR	metal ion binding // DNA binding	379606	379881	-
frvR	putative transcriptional regulator FrvR	transferase activity // kinase activity // DNA binding	4088107	4089855	-
fucR	DNA-binding transcriptional activator FucR	DNA-binding transcription factor activity // DNA binding // ligand-activated transcription factor activity	2939368	2940099	+
fur	DNA-binding transcriptional dual regulator Fur	sequence-specific DNA binding // DNA-binding transcription repressor activity // DNA-binding transcription activator activity // transcription regulatory region sequence-specific DNA binding // metal ion binding // DNA-binding transcription factor activity // zinc ion binding // DNA binding	710200	710646	-
gadE	DNA-binding transcriptional activator GadE	DNA binding	3658366	3658893	+
gadW	DNA-binding transcriptional dual regulator GadW	sequence-specific DNA binding // DNA-binding transcription factor activity // DNA binding	3663890	3664618	-
gadX	DNA-binding transcriptional dual regulator GadX	transcription regulatory region sequence-specific DNA binding // sequence-specific DNA binding // DNA-binding transcription factor activity // DNA binding // bacterial-type cis-regulatory region sequence-specific DNA binding // DNA-binding transcription activator activity // protein homodimerization activity	3664986	3665810	-
galR	DNA-binding transcriptional dual regulator GalR	transcription regulatory region sequence-specific DNA binding // identical protein binding // protein binding // DNA-binding transcription factor activity // DNA binding	2976599	2977630	+
galS	DNA-binding transcriptional dual regulator GalS	DNA-binding transcription factor activity // transcription regulatory region sequence-specific DNA binding // protein binding // DNA binding	2240628	2241668	-
gcvA	DNA-binding transcriptional dual regulator GcvA	sequence-specific DNA binding // DNA binding // DNA-binding transcription factor activity	2941650	2942567	-
gcvR	putative transcriptional regulator GcvR		2599906	2600478	+
glaR	DNA-binding transcriptional repressor GlaR	DNA-binding transcription factor activity // DNA binding	2795674	2796336	+
glcC	DNA-binding transcriptional dual regulator GlcC	protein binding // DNA-binding transcription factor activity // DNA binding	3128272	3129036	+
glnG	NtrC-phosphorylated monomer // DNA-binding transcriptional dual regulator NtrC	protein binding // sequence-specific DNA binding // transcription factor binding // phosphorelay response regulator activity // ATP binding // DNA binding // nucleotide binding	4053869	4055278	-
glpR	DNA-binding transcriptional repressor GlpR	bacterial-type cis-regulatory region sequence-specific DNA binding	3559848	3560605	-
glrR	P<sup>asp56</sup> DNA-binding transcriptional activator GlrR // DNA-binding transcriptional activator GlrR	transcription factor binding // DNA binding // ATP binding // nucleotide binding // DNA-binding transcription factor activity // bacterial-type cis-regulatory region sequence-specific DNA binding // phosphorelay response regulator activity	2687469	2688803	-
gntR	DNA-binding transcriptional repressor GntR	DNA-binding transcription factor activity // transcription regulatory region sequence-specific DNA binding // DNA binding	3577731	3578726	-
greA	transcription elongation factor GreA	RNA polymerase binding // DNA binding // bacterial-type RNA polymerase holo enzyme binding	3328239	3328715	-
greB	transcription elongation factor GreB	RNA polymerase binding // DNA binding	3536812	3537288	+
gutM	DNA-binding transcriptional activator GutM	DNA binding	2828621	2828980	+
hcaR	DNA-binding transcriptional dual regulator HcaR	bacterial-type cis-regulatory region sequence-specific DNA binding // DNA binding // DNA-binding transcription factor activity	2668006	2668896	-
hdfR	DNA-binding transcriptional dual regulator HdfR	DNA binding // DNA-binding transcription factor activity	3947128	3947967	-
hha	haemolysin expression-modulating protein Hha	DNA binding // protein binding	480090	480308	-
hicB	antitoxin of the HicA-HicB toxin-antitoxin system /  DNA-binding transcriptional repressor HicB	DNA binding	1509508	1509924	+
higA	antitoxin/DNA-binding transcriptional repressor HigA	protein binding // DNA binding // protein homodimerization activity // bacterial-type RNA polymerase core promoter sequence-specific DNA binding	3233728	3234144	-
hipB	antitoxin/DNA-binding transcriptional repressor HipB	DNA-binding transcription repressor activity // transcription regulatory region sequence-specific DNA binding // DNA binding // bacterial-type RNA polymerase core promoter sequence-specific DNA binding // protein homodimerization activity // protein binding // sequence-specific DNA binding	1592176	1592442	-
hns	DNA-binding transcriptional dual regulator H-NS	minor groove of adenine-thymine-rich DNA binding // DNA-binding transcription repressor activity // transcription regulatory region sequence-specific DNA binding // RNA binding // protein binding // DNA binding // identical protein binding // protein dimerization activity // bent DNA binding	1292509	1292922	-
hprR	phosphorylated DNA-binding transcriptional dual regulator HprR // DNA-binding transcriptional dual regulator HprR	DNA-binding transcription activator activity // transcription regulatory region sequence-specific DNA binding // phosphorelay response regulator activity // protein binding // DNA-binding transcription factor activity // DNA binding	2038152	2038823	-
hupA	DNA-binding protein HU-&alpha;	identical protein binding // protein binding // DNA binding	4200281	4200553	+
hupB	DNA-binding protein HU-&beta;	identical protein binding // protein binding // DNA binding	461451	461723	+
hyfR	DNA-binding transcriptional activator HyfR	transcription factor binding // ATP binding // DNA binding // nucleotide binding	2611900	2613912	+
hypT	DNA-binding transcriptional dual regulator HypT	DNA-binding transcription factor activity // DNA binding // bacterial-type RNA polymerase transcription regulatory region sequence-specific DNA binding // transcription regulatory region sequence-specific DNA binding // identical protein binding	4557378	4558289	-
iclR	DNA-binding transcriptional repressor IclR	protein binding // DNA-binding transcription factor activity // DNA binding	4222804	4223628	-
idnR	DNA-binding transcriptional dual regulator IdnR	DNA-binding transcription factor activity // transcription regulatory region sequence-specific DNA binding // DNA binding	4490141	4491139	-
ihfA	integration host factor subunit &alpha;	DNA-binding transcription activator activity // transcription regulatory region sequence-specific DNA binding // DNA binding	1795253	1795552	-
ihfB	integration host factor subunit &beta;	DNA binding	963828	964112	+
ilvY	DNA-binding transcriptional dual regulator IlvY	transcription regulatory region sequence-specific DNA binding // DNA-binding transcription factor activity // DNA binding	3956927	3957820	-
iprA	putative DNA-binding transcriptional regulator IprA		394506	395129	+
iscR	DNA-binding transcriptional dual regulator IscR	iron ion binding // identical protein binding // double-stranded DNA binding // 2 iron, 2 sulfur cluster binding // iron-sulfur cluster binding // metal ion binding // DNA binding // DNA-binding transcription factor activity	2661643	2662131	-
kdgR	DNA-binding transcriptional repressor KdgR	protein binding // DNA binding // DNA-binding transcription factor activity	1909308	1910099	-
kdpE	KdpE-Phosphorylated // DNA-binding transcriptional activator KdpE	transcription regulatory region sequence-specific DNA binding // phosphorelay response regulator activity // DNA binding // DNA-binding transcription factor activity // protein homodimerization activity // DNA-binding transcription activator activity // protein binding // bacterial-type cis-regulatory region sequence-specific DNA binding	721056	721733	-
lacI	DNA-binding transcriptional repressor LacI	DNA-binding transcription factor activity // transcription regulatory region sequence-specific DNA binding // identical protein binding // DNA binding // bacterial-type cis-regulatory region sequence-specific DNA binding // DNA-binding transcription repressor activity	366428	367510	-
leuO	DNA-binding transcriptional dual regulator LeuO	sequence-specific DNA binding // DNA-binding transcription factor activity // DNA binding	84368	85312	+
lexA	DNA-binding transcriptional repressor LexA	identical protein binding // protein binding // DNA-binding transcription repressor activity // transcription regulatory region sequence-specific DNA binding // serine-type endopeptidase activity // hydrolase activity // DNA binding	4257115	4257723	+
lgoR	putative DNA-binding transcriptional regulator LgoR	DNA-binding transcription factor activity // DNA binding	4594937	4595851	-
lldR	DNA-binding transcriptional dual regulator LldR	DNA binding // DNA-binding transcription factor activity // DNA-binding transcription repressor activity // DNA-binding transcription activator activity // bacterial-type cis-regulatory region sequence-specific DNA binding	3779054	3779830	+
lrhA	DNA-binding transcriptional dual regulator LrhA	DNA binding // DNA-binding transcription factor activity // sequence-specific DNA binding // bacterial-type cis-regulatory region sequence-specific DNA binding	2405703	2406641	-
lrp	DNA-binding transcriptional dual regulator Lrp	DNA-binding transcription repressor activity // DNA-binding transcription activator activity // transcription regulatory region sequence-specific DNA binding // protein binding // DNA binding // identical protein binding // DNA-binding transcription factor activity // sequence-specific DNA binding	932595	933089	+
lsrR	DNA-binding transcriptional repressor LsrR	carbohydrate binding // DNA binding // bacterial-type cis-regulatory region sequence-specific DNA binding // identical protein binding	1600288	1601241	-
lysR	DNA-binding transcriptional dual regulator LysR	sequence-specific DNA binding // DNA-binding transcription factor activity // DNA binding	2979021	2979956	+
malI	DNA-binding transcriptional repressor MalI	DNA-binding transcription repressor activity // DNA-binding transcription factor activity // transcription regulatory region sequence-specific DNA binding // DNA binding	1698152	1699180	-
malT	DNA-binding transcriptional activator MalT	DNA-binding transcription factor activity // identical protein binding // ATP binding // DNA binding // nucleotide binding // protein binding // trisaccharide binding	3553085	3555790	+
marA	DNA-binding transcriptional dual regulator MarA	sequence-specific DNA binding // DNA-binding transcription factor activity // DNA binding	1619574	1619957	+
marR	DNA-binding transcriptional repressor MarR	transcription regulatory region sequence-specific DNA binding // DNA-binding transcription factor activity // DNA binding	1619120	1619554	+
mcbR	DNA-binding transcriptional dual regulator McbR	protein binding // DNA binding // DNA-binding transcription factor activity	1520262	1520927	+
melR	DNA-binding transcriptional dual regulator MelR	sequence-specific DNA binding // DNA-binding transcription factor activity // DNA binding	4340720	4341628	-
metJ	DNA-binding transcriptional repressor MetJ	protein binding // DNA-binding transcription factor activity // DNA binding // adenine binding	4128078	4128395	-
metR	DNA-binding transcriptional dual regulator MetR	transcription regulatory region sequence-specific DNA binding // DNA-binding transcription factor activity // amino acid binding // DNA binding	4011863	4012816	-
mhpR	DNA-binding transcriptional activator MhpR	DNA-binding transcription factor activity // DNA binding	367587	368420	-
mlc	DNA-binding transcriptional repressor Mlc	identical protein binding // protein binding // metal ion binding // DNA binding	1667344	1668564	-
mlrA	DNA-binding transcriptional activator MlrA	DNA binding // protein binding // DNA-binding transcription factor activity	2214866	2215597	+
mngR	DNA-binding transcriptional repressor MngR	DNA binding // DNA-binding transcription factor activity	765153	765875	-
mntR	DNA-binding transcriptional dual regulator MntR	protein binding // transition metal ion binding // protein dimerization activity // DNA binding // manganese ion binding // DNA-binding transcription factor activity	853183	853650	+
modE	DNA-binding transcriptional dual regulator ModE	metal ion binding // DNA-binding transcription factor activity // DNA binding // bacterial-type cis-regulatory region sequence-specific DNA binding // molybdenum ion binding	793856	794644	-
mprA	DNA-binding transcriptional repressor MprA	transcription regulatory region sequence-specific DNA binding // DNA-binding transcription factor activity // DNA binding	2810770	2811300	+
mqsA	antitoxin of the MqsRA toxin-antitoxin system / DNA-binding transcriptional repressor MqsA	protein binding // DNA binding // metal ion binding // sequence-specific DNA binding	3167851	3168246	-
mtlR	transcriptional repressor MtlR	protein binding	3775572	3776159	+
murR	DNA-binding transcriptional dual regulator MurR	carbohydrate derivative binding // DNA binding // DNA-binding transcription factor activity	2544752	2545609	-
nac	DNA-binding transcriptional dual regulator Nac	DNA binding // DNA-binding transcription factor activity	2061016	2061933	-
nadR	DNA-binding transcriptional repressor/NMN adenylyltransferase NadR	transferase activity // catalytic activity // DNA binding // kinase activity // ATP binding // nucleotide binding // identical protein binding // magnesium ion binding // bacterial-type cis-regulatory region sequence-specific DNA binding // ribosylnicotinamide kinase activity // nicotinamide-nucleotide adenylyltransferase activity	4627315	4628547	+
nagC	DNA-binding transcriptional dual regulator NagC	DNA-binding transcription factor activity // DNA binding	700374	701594	-
nanR	DNA-binding transcriptional dual regulator NanR	DNA-binding transcription factor activity // DNA binding	3373698	3374489	-
narL	Phosphorylated DNA-binding transcriptional dual regulator NarL // DNA-binding transcriptional dual regulator NarL	protein binding // DNA-binding transcription repressor activity // transcription regulatory region sequence-specific DNA binding // ATP binding // nucleotide binding // DNA binding	1275179	1275829	-
narP	Phosphorylated DNA-binding transcriptional dual regulator NarP // DNA-binding transcriptional dual regulator NarP	ATP binding // nucleotide binding // DNA binding	2290500	2291147	+
nemR	DNA-binding transcriptional repressor NemR	protein binding // DNA binding // DNA-binding transcription factor activity	1726023	1726622	+
nfeR	DNA-binding transcriptional repressor NfeR	DNA-binding transcription factor activity // DNA binding	3216779	3217402	+
nhaR	DNA-binding transcriptional activator NhaR	DNA-binding transcription factor activity // DNA binding // DNA-binding transcription activator activity	18715	19620	+
nikR	DNA-binding transcriptional repressor NikR	sequence-specific DNA binding // DNA-binding transcription repressor activity // transcription regulatory region sequence-specific DNA binding // DNA-binding transcription factor activity // protein binding // metal ion binding // DNA binding // identical protein binding // bacterial-type RNA polymerase core promoter sequence-specific DNA binding // nickel cation binding	3618588	3618989	+
nimR	DNA-binding transcriptional repressor NimR	sequence-specific DNA binding // DNA-binding transcription factor activity // DNA binding	1874755	1875576	-
norR	DNA-binding transcriptional dual regulator NorR	transcription factor binding // ATP binding // DNA binding // nucleotide binding // identical protein binding // ferrous iron binding // bacterial-type cis-regulatory region sequence-specific DNA binding // nitric oxide binding // DNA-binding transcription factor activity	2830775	2832289	-
nrdR	NrdR transcriptional repressor	DNA binding // zinc ion binding // metal ion binding // nucleotide binding // ATP binding // double-stranded DNA binding	433002	433451	+
nsrR	DNA-binding transcriptional repressor NsrR	2 iron, 2 sulfur cluster binding // iron-sulfur cluster binding // metal ion binding // iron ion binding // DNA-binding transcription factor activity // double-stranded DNA binding // DNA binding // nitric oxide binding	4406190	4406615	+
nusA	transcription termination/antitermination protein NusA	protein domain specific binding // bacterial-type RNA polymerase core enzyme binding // nucleic acid binding // protein binding // DNA-binding transcription factor activity // nucleotide binding // RNA binding	3316039	3317526	-
obgE	GTPase ObgE	metal ion binding // hydrolase activity // nucleotide binding // magnesium ion binding // rRNA binding // RNA binding // DNA binding // ribosomal large subunit binding // guanyl ribonucleotide binding // GTPase activity // GDP binding // protein binding // GTP binding	3330582	3331754	-
